종류,코드,상품명,위험등급,취급시작,취급종료,판매,매칭,SEIBro확인,정식펀드명(SEIBro),SEIBro이름대조,협회표준코드,협회단축코드,KOFIA펀드명,KOFIA이름대조,대조결과,확인필요
펀드,KRZ500390143,하나라이프싸이클2030 증권 자투자신탁(제1호) [주식혼합] Class C-E,4,,,,matched,,,,KR5102728510,,,,,
펀드,KRZ500398135,하나코리아중소형증권자투자신탁[주식] 종류C1,2,,,,matched,,,,KR5102738337,,,,,
펀드,KRZ500398131,하나코리아중소형 증권자투자신탁[주식] 종류 A,2,,,,matched,,,,KR5102738337,,,,,
펀드,KRZ500052403,하나 코리아배당증권투자신탁(제1호)[주식] Class C-F,2,,,,matched,,,,KR5102371600,,,,,
펀드,KRZ500390132,하나라이프싸이클2020 증권 자투자신탁(제1호) [채권혼합] Class C,4,,,,matched,,,,KR5102728494,,,,,
펀드,KRZ500398133,하나코리아중소형 증권자투자신탁[주식] Class C-F,2,,,,matched,,,,KR5102738337,,,,,
펀드,KRZ500390131,하나라이프싸이클2020 증권 자투자신탁(제1호) [채권혼합] Class A,4,,,,matched,,,,KR5102728494,,,,,
펀드,KRZ500089894,하나 가족사랑짱 적립식 증권자투자신탁(K-1호)[주식] 종류C1,2,,,,matched,,,,KR5102399031,,,,,
펀드,KRZ500089893,하나 가족사랑짱 적립식 증권자투자신탁(K-1호)[주식] 종류 C-E,2,,,,matched,,,,KR5102399031,,,,,
펀드,KRZ500390141,하나라이프싸이클2030 증권 자투자신탁(제1호) [주식혼합] Class A,4,,,,matched,,,,KR5102728510,,,,,
펀드,KRZ500398134,하나코리아중소형 증권자투자신탁[주식] 종류C-E,2,,,,matched,,,,KR5102738337,,,,,
펀드,KRZ500221992,한화내일받는단기국공채증권 자투자신탁(채권) 종류C,6,,,,matched,,,,KR5103551382,,,,,
펀드,KRZ500221993,한화내일받는단기국공채증권 자투자신탁(채권) 종류C-w,6,,,,matched,,,,KR5103551382,,,,,
펀드,KRZ500240871,한화코리아밸류채권증권 자투자신탁2호(채권) 종류A,5,,,,matched,,,,KR5103570762,,,,,
펀드,KRZ500240872,한화코리아밸류채권증권 자투자신탁2호(채권) 종류B,5,,,,matched,,,,KR5103570762,,,,,
펀드,KRZ500255401,한화글로벌헬스케어증권 자투자신탁(주식) 종류A,3,,,,matched,,,,KR5103585489,,,,,
펀드,KRZ500255406,한화글로벌헬스케어증권 자투자신탁(주식) 종류B1,3,,,,matched,,,,KR5103585489,,,,,
펀드,KRZ500036401,한화배당성장인덱스증권 자투자신탁2호(주식) 종류A,2,,,,matched,,,,KR5103345405,,,,,
펀드,KRZ500240873,한화코리아밸류채권증권 자투자신탁2호(채권) 종류I,5,,,,matched,,,,KR5103570762,,,,,
펀드,KRZ500240874,한화코리아밸류채권증권 자투자신탁2호(채권) 종류W,5,,,,matched,,,,KR5103570762,,,,,
펀드,KRZ500322181,한화재팬코아증권투자신탁1호(주식) 종류A,2,,,,matched,,,,KR5103654756,,,,,
펀드,KRZ500322182,한화재팬코아증권투자신탁1호(주식) 종류C,2,,,,matched,,,,KR5103654756,,,,,
펀드,KRZ500255403,한화글로벌헬스케어증권 자투자신탁(주식) 종류I,3,,,,matched,,,,KR5103585489,,,,,
펀드,KRZ500325941,한화차이나고배당증권 자투자신탁(주식) 종류A,2,,,,matched,,,,KR5103659243,,,,,
펀드,KRZ500325943,한화차이나고배당증권 자투자신탁(주식) 종류C1,2,,,,matched,,,,KR5103659243,,,,,
펀드,KRZ500328811,한화글로벌리츠부동산 자투자신탁2호(리츠-재간접형) 종류A,3,,,,matched,,,,KR5103662353,,,,,
펀드,KRZ500328812,한화글로벌리츠부동산 자투자신탁2호(리츠-재간접형) 종류C,3,,,,matched,,,,KR5103662353,,,,,
펀드,KRZ500328813,한화글로벌리츠부동산 자투자신탁2호(리츠-재간접형) 종류I,3,,,,matched,,,,KR5103662353,,,,,
펀드,KRZ500356771,한화코리아레전드증권 자투자신탁2호(주식) 종류A,2,,,,matched,,,,KR5103692301,,,,,
펀드,KRZ500356777,한화코리아레전드증권 자투자신탁2호(주식) 종류C1,2,,,,matched,,,,KR5103692301,,,,,
펀드,KRZ500255404,한화글로벌헬스케어증권 자투자신탁(주식) 종류F,3,,,,matched,,,,KR5103585489,,,,,
